A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
353.8454545454546,402.8272727272727,18,8,8,0,4,47,43,28,38
438.1029411764706,407.9117647058824,11,1,3,2,3,21,25,16,26
268.0375,419.7375,9,0,1,1,3,33,27,15,24
369.9015151515151,418.45454545454544,20,1,2,1,5,66,35,26,45
390.2875,422.3625,10,0,1,1,3,31,23,15,25
396.6,467.70714285714286,21,21,24,3,5,76,24,46,46
461.2076923076923,431.83846153846156,13,7,10,3,5,58,25,32,38
330.76724137931035,410.62931034482756,18,8,9,1,4,50,39,28,38
441.0,305.0,3,0,0,0,1,4,2,5,8
367.64285714285717,326.0238095238095,14,2,2,0,3,26,36,17,29
428.9,428.7125,12,0,2,2,3,26,38,15,27
427.8142857142857,500,0,32,37,5,3,41,0,47,15
478.9605263157895,500,2,30,36,6,3,42,0,45,17
341.364406779661,500,5,54,66,12,4,66,0,74,25
391.22727272727275,500,2,37,44,7,3,43,0,51,17
408.0217391304348,500,1,12,16,4,2,16,0,22,11
411.54411764705884,500,3,27,32,5,3,27,0,42,18
378.1216216216216,500,8,73,99,26,5,79,0,97,33
366.92727272727274,499.42727272727274,8,42,55,13,4,62,4,62,28
381.3333333333333,500,3,17,20,3,2,27,0,27,13
380.9756097560976,500,4,94,105,11,6,92,0,123,34
380.52564102564105,500,3,31,39,8,3,34,0,46,18
395.3134328358209,509.75373134328356,13,70,85,15,5,77,6,95,38
336.91525423728814,494.8813559322034,10,52,63,11,4,66,16,71,30
356.041095890411,529.1301369863014,9,70,84,14,5,85,12,95,34
392.5897435897436,466.7692307692308,8,18,28,10,3,35,17,33,23
377.23770491803276,502.844262295082,7,66,73,7,5,68,7,91,32
363.55357142857144,445.30357142857144,8,13,18,5,2,20,11,23,18
397.4779411764706,507.2647058823529,11,66,83,17,5,78,7,91,36
411.14285714285717,484.7857142857143,10,18,30,12,3,34,15,33,25